                                                                       07 Mar 2017 13:35:19
Place-INPE-CRN-To-Satellite-Scd2


Start Time (DD/MM/YYYY)     Stop Time (DD/MM/YYYY)    Duration (sec)    Max Elevation (deg)
07/03/2017 04:57:59.000          338.750              2.961    2862.043211
07/03/2017 04:58:00.000          338.854              3.004    2857.804522
07/03/2017 04:58:01.000          338.958              3.047    2853.573463
07/03/2017 04:58:02.000          339.062              3.089    2849.350070
07/03/2017 04:58:03.000          339.166              3.132    2845.134385
07/03/2017 04:58:04.000          339.271              3.175    2840.926443
07/03/2017 04:58:05.000          339.376              3.218    2836.726283
07/03/2017 04:58:06.000          339.481              3.261    2832.533947
07/03/2017 04:58:07.000          339.587              3.304    2828.349470
07/03/2017 04:58:08.000          339.693              3.347    2824.172894
07/03/2017 04:58:09.000          339.799              3.389    2820.004258
07/03/2017 04:58:10.000          339.906              3.432    2815.843600
07/03/2017 04:58:11.000          340.013              3.475    2811.690961
07/03/2017 04:58:12.000          340.120              3.518    2807.546380
07/03/2017 04:58:13.000          340.228              3.561    2803.409898
07/03/2017 04:58:14.000          340.336              3.603    2799.281555
07/03/2017 04:58:15.000          340.444              3.646    2795.161389
07/03/2017 04:58:16.000          340.552              3.689    2791.049443
07/03/2017 04:58:17.000          340.661              3.732    2786.945758
07/03/2017 04:58:18.000          340.771              3.774    2782.850371
07/03/2017 04:58:19.000          340.880              3.817    2778.763327
07/03/2017 04:58:20.000          340.990              3.860    2774.684664
07/03/2017 04:58:21.000          341.100              3.903    2770.614426
07/03/2017 04:58:22.000          341.211              3.945    2766.552652
07/03/2017 04:58:23.000          341.322              3.988    2762.499384
07/03/2017 04:58:24.000          341.433              4.031    2758.454665
07/03/2017 04:58:25.000          341.544              4.073    2754.418535
07/03/2017 04:58:26.000          341.656              4.116    2750.391036
07/03/2017 04:58:27.000          341.769              4.159    2746.372211
07/03/2017 04:58:28.000          341.881              4.201    2742.362103
07/03/2017 04:58:29.000          341.994              4.244    2738.360752
07/03/2017 04:58:30.000          342.107              4.286    2734.368203
07/03/2017 04:58:31.000          342.221              4.329    2730.384497
07/03/2017 04:58:32.000          342.335              4.371    2726.409676
07/03/2017 04:58:33.000          342.449              4.414    2722.443786
07/03/2017 04:58:34.000          342.564              4.456    2718.486869
07/03/2017 04:58:35.000          342.678              4.499    2714.538966
07/03/2017 04:58:36.000          342.794              4.541    2710.600123
07/03/2017 04:58:37.000          342.909              4.584    2706.670383
07/03/2017 04:58:38.000          343.025              4.626    2702.749788
07/03/2017 04:58:39.000          343.142              4.668    2698.838385
07/03/2017 04:58:40.000          343.258              4.711    2694.936217
07/03/2017 04:58:41.000          343.375              4.753    2691.043326
07/03/2017 04:58:42.000          343.493              4.795    2687.159758
07/03/2017 04:58:43.000          343.610              4.837    2683.285558
07/03/2017 04:58:44.000          343.729              4.880    2679.420769
07/03/2017 04:58:45.000          343.847              4.922    2675.565436
07/03/2017 04:58:46.000          343.966              4.964    2671.719606
07/03/2017 04:58:47.000          344.085              5.006    2667.883322
07/03/2017 04:58:48.000          344.204              5.048    2664.056630
07/03/2017 04:58:49.000          344.324              5.090    2660.239574
07/03/2017 04:58:50.000          344.444              5.132    2656.432202
07/03/2017 04:58:51.000          344.565              5.174    2652.634557
07/03/2017 04:58:52.000          344.686              5.216    2648.846685
07/03/2017 04:58:53.000          344.807              5.258    2645.068634
07/03/2017 04:58:54.000          344.929              5.300    2641.300449
07/03/2017 04:58:55.000          345.051              5.342    2637.542175
07/03/2017 04:58:56.000          345.173              5.384    2633.793859
07/03/2017 04:58:57.000          345.296              5.426    2630.055548
07/03/2017 04:58:58.000          345.419              5.467    2626.327288
07/03/2017 04:58:59.000          345.542              5.509    2622.609127
07/03/2017 04:59:00.000          345.666              5.551    2618.901108
07/03/2017 04:59:01.000          345.790              5.592    2615.203282
07/03/2017 04:59:02.000          345.915              5.634    2611.515695
07/03/2017 04:59:03.000          346.040              5.676    2607.838394
07/03/2017 04:59:04.000          346.165              5.717    2604.171427
07/03/2017 04:59:05.000          346.290              5.759    2600.514839
07/03/2017 04:59:06.000          346.416              5.800    2596.868680
07/03/2017 04:59:07.000          346.543              5.841    2593.232997
07/03/2017 04:59:08.000          346.670              5.883    2589.607839
07/03/2017 04:59:09.000          346.797              5.924    2585.993251
07/03/2017 04:59:10.000          346.924              5.965    2582.389285
07/03/2017 04:59:11.000          347.052              6.006    2578.795987
07/03/2017 04:59:12.000          347.180              6.048    2575.213406
07/03/2017 04:59:13.000          347.309              6.089    2571.641589
07/03/2017 04:59:14.000          347.438              6.130    2568.080586
07/03/2017 04:59:15.000          347.567              6.171    2564.530446
07/03/2017 04:59:16.000          347.697              6.212    2560.991218
07/03/2017 04:59:17.000          347.827              6.253    2557.462950
07/03/2017 04:59:18.000          347.957              6.293    2553.945691
07/03/2017 04:59:19.000          348.088              6.334    2550.439491
07/03/2017 04:59:20.000          348.219              6.375    2546.944398
07/03/2017 04:59:21.000          348.351              6.416    2543.460463
07/03/2017 04:59:22.000          348.483              6.456    2539.987734
07/03/2017 04:59:23.000          348.615              6.497    2536.526262
07/03/2017 04:59:24.000          348.748              6.537    2533.076097
07/03/2017 04:59:25.000          348.881              6.578    2529.637287
07/03/2017 04:59:26.000          349.015              6.618    2526.209882
07/03/2017 04:59:27.000          349.148              6.658    2522.793935
07/03/2017 04:59:28.000          349.283              6.698    2519.389493
07/03/2017 04:59:29.000          349.417              6.739    2515.996608
07/03/2017 04:59:30.000          349.552              6.779    2512.615329
07/03/2017 04:59:31.000          349.688              6.819    2509.245707
07/03/2017 04:59:32.000          349.824              6.859    2505.887793
07/03/2017 04:59:33.000          349.960              6.899    2502.541638
07/03/2017 04:59:34.000          350.096              6.938    2499.207290
07/03/2017 04:59:35.000          350.233              6.978    2495.884803
07/03/2017 04:59:36.000          350.370              7.018    2492.574227
07/03/2017 04:59:37.000          350.508              7.057    2489.275612
07/03/2017 04:59:38.000          350.646              7.097    2485.989009
07/03/2017 04:59:39.000          350.785              7.136    2482.714471
07/03/2017 04:59:40.000          350.924              7.176    2479.452048
07/03/2017 04:59:41.000          351.063              7.215    2476.201790
07/03/2017 04:59:42.000          351.202              7.254    2472.963751
07/03/2017 04:59:43.000          351.342              7.293    2469.737980
07/03/2017 04:59:44.000          351.483              7.333    2466.524530
07/03/2017 04:59:45.000          351.624              7.372    2463.323452
07/03/2017 04:59:46.000          351.765              7.410    2460.134797
07/03/2017 04:59:47.000          351.906              7.449    2456.958619
07/03/2017 04:59:48.000          352.048              7.488    2453.794967
07/03/2017 04:59:49.000          352.191              7.527    2450.643895
07/03/2017 04:59:50.000          352.333              7.565    2447.505453
07/03/2017 04:59:51.000          352.476              7.604    2444.379695
07/03/2017 04:59:52.000          352.620              7.642    2441.266671
07/03/2017 04:59:53.000          352.764              7.680    2438.166434
07/03/2017 04:59:54.000          352.908              7.718    2435.079036
07/03/2017 04:59:55.000          353.053              7.757    2432.004529
07/03/2017 04:59:56.000          353.198              7.795    2428.942965
07/03/2017 04:59:57.000          353.343              7.832    2425.894397
07/03/2017 04:59:58.000          353.489              7.870    2422.858877
07/03/2017 04:59:59.000          353.635              7.908    2419.836456
07/03/2017 05:00:00.000          353.782              7.946    2416.827188
07/03/2017 05:00:01.000          353.929              7.983    2413.831125
07/03/2017 05:00:02.000          354.076              8.020    2410.848319
07/03/2017 05:00:03.000          354.224              8.058    2407.878822
07/03/2017 05:00:04.000          354.372              8.095    2404.922688
07/03/2017 05:00:05.000          354.521              8.132    2401.979967
07/03/2017 05:00:06.000          354.670              8.169    2399.050714
07/03/2017 05:00:07.000          354.819              8.206    2396.134980
07/03/2017 05:00:08.000          354.969              8.243    2393.232817
07/03/2017 05:00:09.000          355.119              8.279    2390.344279
07/03/2017 05:00:10.000          355.270              8.316    2387.469418
07/03/2017 05:00:11.000          355.420              8.352    2384.608286
07/03/2017 05:00:12.000          355.572              8.389    2381.760936
07/03/2017 05:00:13.000          355.723              8.425    2378.927420
07/03/2017 05:00:14.000          355.875              8.461    2376.107791
07/03/2017 05:00:15.000          356.028              8.497    2373.302101
07/03/2017 05:00:16.000          356.181              8.533    2370.510403
07/03/2017 05:00:17.000          356.334              8.569    2367.732749
07/03/2017 05:00:18.000          356.487              8.604    2364.969192
07/03/2017 05:00:19.000          356.641              8.640    2362.219784
07/03/2017 05:00:20.000          356.796              8.675    2359.484577
07/03/2017 05:00:21.000          356.950              8.710    2356.763624
07/03/2017 05:00:22.000          357.106              8.745    2354.056977
07/03/2017 05:00:23.000          357.261              8.780    2351.364689
07/03/2017 05:00:24.000          357.417              8.815    2348.686811
07/03/2017 05:00:25.000          357.573              8.850    2346.023396
07/03/2017 05:00:26.000          357.730              8.884    2343.374496
07/03/2017 05:00:27.000          357.887              8.919    2340.740163
07/03/2017 05:00:28.000          358.044              8.953    2338.120449
07/03/2017 05:00:29.000          358.202              8.987    2335.515406
07/03/2017 05:00:30.000          358.360              9.021    2332.925086
07/03/2017 05:00:31.000          358.519              9.055    2330.349541
07/03/2017 05:00:32.000          358.678              9.089    2327.788823
07/03/2017 05:00:33.000          358.837              9.123    2325.242984
07/03/2017 05:00:34.000          358.997              9.156    2322.712074
07/03/2017 05:00:35.000          359.157              9.189    2320.196146
07/03/2017 05:00:36.000          359.317              9.223    2317.695251
07/03/2017 05:00:37.000          359.478              9.256    2315.209441
07/03/2017 05:00:38.000          359.639              9.289    2312.738767
07/03/2017 05:00:39.000          359.801              9.321    2310.283280
07/03/2017 05:00:40.000          359.963              9.354    2307.843031
07/03/2017 05:00:41.000            0.125              9.386    2305.418071
07/03/2017 05:00:42.000            0.288              9.419    2303.008451
07/03/2017 05:00:43.000            0.451              9.451    2300.614223
07/03/2017 05:00:44.000            0.614              9.483    2298.235436
07/03/2017 05:00:45.000            0.778              9.514    2295.872141
07/03/2017 05:00:46.000            0.942              9.546    2293.524388
07/03/2017 05:00:47.000            1.106              9.577    2291.192229
07/03/2017 05:00:48.000            1.271              9.609    2288.875713
07/03/2017 05:00:49.000            1.436              9.640    2286.574890
07/03/2017 05:00:50.000            1.602              9.671    2284.289810
07/03/2017 05:00:51.000            1.768              9.702    2282.020524
07/03/2017 05:00:52.000            1.934              9.732    2279.767080
07/03/2017 05:00:53.000            2.101              9.763    2277.529527
07/03/2017 05:00:54.000            2.268              9.793    2275.307916
07/03/2017 05:00:55.000            2.435              9.823    2273.102296
07/03/2017 05:00:56.000            2.603              9.853    2270.912715
07/03/2017 05:00:57.000            2.771              9.883    2268.739223
07/03/2017 05:00:58.000            2.939              9.913    2266.581867
07/03/2017 05:00:59.000            3.108              9.942    2264.440697
07/03/2017 05:01:00.000            3.277              9.971    2262.315761
07/03/2017 05:01:01.000            3.447             10.000    2260.207107
07/03/2017 05:01:02.000            3.616             10.029    2258.114782
07/03/2017 05:01:03.000            3.786             10.058    2256.038836
07/03/2017 05:01:04.000            3.957             10.086    2253.979314
07/03/2017 05:01:05.000            4.128             10.115    2251.936265
